bo19_name,bo19_type,
age_class,numeric,
age_class_label,character,*
alive,numeric,
beach_length_km,numeric,
beach_segment_code,character,
beach_segment_name,character,
bird_or_mammal,character,
carcass_present,numeric,
cause_of_death,numeric,
condition,numeric,
condition_label,character,*
datum,logical,
deposition_rate_carcass_per_km,logical,*
external_findings,character,
geom,character,*
inst_code,numeric,*
latitude,numeric,
longitude,numeric,
north_latitude,numeric,
north_longitude,numeric,
notes,character,
organization_code,character,*
organization_label,character,*
percent_of_beach_surveyed,numeric,
photo_code,character,
photos,character,
sex,character,
sex_label,character,*
south_latitude,numeric,
south_longitude,numeric,
species_code,character,
species_common_name,character,
species_genus,logical,
species_itis,numeric,
species_sci_name,character,
standard_length_m,numeric,
time,"POSIXct,POSIXt",
unique_carcass_identifier,character,
unique_survey_identifier,character,
